id	filename	md5	size	state
dcef7cd0-81d4-4836-84c5-abe9e0c0a0ec	536850ec-2e2b-4b59-aa11-51402b5aac8c.rna_seq.augmented_star_gene_counts.tsv	19606881de2e0ea65d800eca3aaa8d31	4238618	released
cb81f786-060e-4886-b3dc-e579471beac3	bf443c60-2030-4d26-b432-6cc36589eb94.rna_seq.augmented_star_gene_counts.tsv	1a6eadaa28df7fe8bc0da7ff689f50dc	4250141	released
73af9093-f0e6-427c-9f7f-0e079a7dd4be	ae7cade2-3fdb-423e-ab63-a5dc7cf29891.rna_seq.augmented_star_gene_counts.tsv	135707def37df6dc2b71a34552dca68d	4228143	released
7c2d7c2c-0840-4bde-bda2-9189def37007	1ae44752-d0ce-49d9-8862-b802ac019440.rna_seq.augmented_star_gene_counts.tsv	2b66db4154890aa3d05f0835dd2719f2	4239375	released
7d2860b9-d6fe-4d92-a349-6545dea48311	c6b53ece-179d-4eb7-b4e0-7e5ba2a06a03.rna_seq.augmented_star_gene_counts.tsv	67ac25d2b625f658562ae8579ac5c224	4232675	released
6eec8fd8-772f-4ffc-b591-193227f9477b	3a7fd71e-9336-46e0-8106-3df32aed7c20.rna_seq.augmented_star_gene_counts.tsv	74f2cb4a65b2485f1fc0ae32443da364	4234106	released
253e7630-4e36-4663-a73a-2291a762e9e8	c3f20523-ca78-45ef-a3fb-185155bf5fdd.rna_seq.augmented_star_gene_counts.tsv	c6de3c65cf49ad4a317d0656eb4104ad	4246465	released
c0b3e84e-74fa-47da-8926-5579da919eec	12ecbdc2-76c1-4c5a-b6e3-510d4c05785f.rna_seq.augmented_star_gene_counts.tsv	83bbd05783aee840dcc2e3b79ae8f620	4239254	released
e0a69a83-c3ee-430c-9769-816d68d8b746	3542bc9c-ce17-4129-90fe-b1bfee35e00d.rna_seq.augmented_star_gene_counts.tsv	2bf610cd7de5991d155214201b1990d4	4243433	released
9a661746-b532-4c45-936b-7ad557a1d6bf	bb77a730-1483-4764-906c-b67a65cd5398.rna_seq.augmented_star_gene_counts.tsv	1b66c89ca08d19eeff6e844073de71b2	4226429	released
64de916c-1e9b-42a9-b638-abf8867973a6	25057577-dd00-4af4-a6e2-e73484ad5693.rna_seq.augmented_star_gene_counts.tsv	a68504fcb28ed30668690cf1d776878a	4240358	released
6d0ec0a1-ad19-4414-b3ab-5cbf9a242129	a499340b-a7e7-46a5-8314-eacf942c0a52.rna_seq.augmented_star_gene_counts.tsv	b4cd2f99f48a41cca120b764f493daae	4241106	released
f6268534-44d0-4772-884c-cbb9d448e492	7e43cd55-3d6f-4fe8-bf9d-ab2dffc0d97d.rna_seq.augmented_star_gene_counts.tsv	79ef8f3485edc656bdbf4e74409a2abe	4222292	released
2165996f-0707-4983-9277-d00bdbcdb93b	96255c92-73ff-4d4c-a7cd-e30dfbdac5f6.rna_seq.augmented_star_gene_counts.tsv	041eec6e80bfee5842b003d898f4a02a	4223069	released
703c7bff-5ff0-4579-beb3-ac652fd00d0d	936b45e8-3c7b-4e69-b58c-562a298685dc.rna_seq.augmented_star_gene_counts.tsv	db1788d6fe76f5b2face7ba71fb439a1	4242272	released
45f1815b-f70e-4817-a16a-b03672c47b30	7233071b-a349-48c9-8609-57537ec6fc6d.rna_seq.augmented_star_gene_counts.tsv	7e886a56fd408898781d252ae6137f94	4240323	released
1bdb2b92-4fb1-4056-86d0-0c43b6f8c927	a2584bf9-babf-4c86-aa11-bb2abb773223.rna_seq.augmented_star_gene_counts.tsv	69fd15193a533c8d57c0fbcc62dcc154	4235552	released
13ee2df9-5746-4e2c-89a8-14b661c1ff88	5586e0ed-a966-418a-96f8-dbef3c08033f.rna_seq.augmented_star_gene_counts.tsv	41461805b2578bf1c1c49ea632ba1dae	4233965	released
e885b7eb-6e09-4b0d-bf8e-788d0c45178c	db8e4fa4-97df-4b38-92eb-4c1a048e720e.rna_seq.augmented_star_gene_counts.tsv	be49025b5eda177c668437ef5b1f37d4	4236722	released
8fac4a60-695a-4fe9-bb25-616303e27702	4b42ae00-7d74-4b51-894d-fcdd522805a9.rna_seq.augmented_star_gene_counts.tsv	c1461736852828d1cfeb22dc9460b657	4227941	released
73d57ab1-1757-4af3-b229-90050dcdb9e0	1fbd55b4-c08b-44b8-940e-6538cc79ef68.rna_seq.augmented_star_gene_counts.tsv	fc8f8a1d1b042073cc8365552353bea3	4251061	released
3eac8cf0-efc3-4300-978e-af4e35dc502d	ca15c78e-f808-4173-85a2-fc3e1243a523.rna_seq.augmented_star_gene_counts.tsv	c0aa43535b2e0e31c57d966bd00988a5	4226347	released
e9be8247-b6e1-486a-afcd-e33e71684229	7024e80d-ec80-4399-ae2a-8a8493f54ed1.rna_seq.augmented_star_gene_counts.tsv	7c4524267d5d466f99f2505b89ddd44f	4232127	released
0957bb2e-11dc-475e-84be-bdc33effb77b	1bc318cd-a7a7-4356-915c-29a97a234013.rna_seq.augmented_star_gene_counts.tsv	e2678aa6968a7bf1a69c75407544fd4b	4226014	released
24dfde61-7dcb-444e-a946-5412cc55b400	99747246-678d-4e27-92e3-2ac12b29af87.rna_seq.augmented_star_gene_counts.tsv	d339800d6d49ca5a1ba172fecd1c20b0	4247171	released
3dc28658-f3df-4d5a-ae16-cb96c7cf7c3e	d6221d0f-b177-4380-a987-924dc5d1e99b.rna_seq.augmented_star_gene_counts.tsv	acc2514c3409e06a5b12ac12f18a15dc	4246851	released
9d3ce188-45e1-472e-a2d8-68aa6dfcbcc4	dc8f7dea-e281-4648-9487-e99b9a48d871.rna_seq.augmented_star_gene_counts.tsv	317e3bf85d4d3e082df112553d4eba3a	4238272	released
f3bc633a-3e4e-47cc-97b0-6f3c79bc0bb0	370c4093-a738-4487-8f5f-e96476fc7d28.rna_seq.augmented_star_gene_counts.tsv	fb5d5b1ff9de1b44d9f740ea47ebe5fe	4236365	released
86a91afd-86d3-4cc9-bf51-e42d1e62b665	4a6f99f6-2591-42b4-8459-217191d32690.rna_seq.augmented_star_gene_counts.tsv	5831dd347d16092da3c159a716db4e1c	4236782	released
fe3b8411-ede6-4f46-a134-f265195c3cd0	0d7ea8df-2d35-4e15-bbef-4eb3d884d9c7.rna_seq.augmented_star_gene_counts.tsv	c2602bb7ded6c482013a10795c2c57b9	4247093	released
bc02964d-86e8-43e7-8b14-3e75133a3696	ee8feffb-6b6e-461c-9e91-7db700ca5ea9.rna_seq.augmented_star_gene_counts.tsv	f74531096739da76a801e0480db343bc	4241548	released
e9f37866-da2b-4b9e-adab-d44430c24ad5	299ce7ef-d929-4311-ad76-ba5938c46ebd.rna_seq.augmented_star_gene_counts.tsv	313aa4870e188d16c7e8c6dc3a4869a5	4243848	released
652fe4b7-38ec-4e33-9535-76ce0ffcf9f2	802e0622-e392-49f2-bb57-4d1e13983467.rna_seq.augmented_star_gene_counts.tsv	aa753e560ed24229c5303b859e246f9b	4226351	released
457924a2-0dac-46a3-a7be-b6e79da9a99e	da4abc56-9541-4b76-998e-2ba601fbe9fb.rna_seq.augmented_star_gene_counts.tsv	08cb1503f10cfd18951535c21d5d7de1	4220548	released
00ec1a9f-3656-4e9c-bcfb-b68c01dffeee	2facd568-e0e0-4bcd-b9be-f9631b7a7549.rna_seq.augmented_star_gene_counts.tsv	5b35f8a1369709b1c8f926d5e48956c4	4236191	released
1f1eef00-cf48-4bf3-b451-1e1a10cc660d	1b32ed8c-74eb-4b2b-8383-fb090bdbcd17.rna_seq.augmented_star_gene_counts.tsv	39444e74ba055ed4680189988f78d0ba	4240414	released
1e84e1af-f14c-49d3-b7bd-b1d62af4f500	83c9a6d9-eb15-4393-98a2-9998992f7ed0.rna_seq.augmented_star_gene_counts.tsv	d9a6f077b189d50bd499b0b254658fb6	4251905	released
cb7b704c-3dc0-4532-a9de-47f512574421	b8975a21-cacf-4df2-bdf2-40ac859d84a2.rna_seq.augmented_star_gene_counts.tsv	f2bc73528cee01c5e4b263d8833ce84a	4230431	released
